building_name,building_address,building_stationText,building_AFText,room_floor,room_layout,room_url
東京メトロ千代田線 千駄木駅 徒歩6分,東京都文京区千駄木3丁目,JR山手線 西日暮里駅 徒歩6分;東京メトロ千代田線 千駄木駅 徒歩6分;山手線 日暮里駅 徒歩12分,8年 / 14階建,6階,1K,https://www.homes.co.jp/chintai/room/ebe329a38e12ea6d5bdbd74285fe6a43fe308a53/
エムアイメゾン文京白山,東京都文京区本駒込1丁目,東京メトロ南北線 本駒込駅 徒歩3分;都営三田線 白山駅 徒歩3分;東京メトロ南北線 東大前駅 徒歩13分,6年 / 4階建,4階,1K,https://www.homes.co.jp/chintai/room/ddb20c9e1dd02d76c1b10d52a39fe594cba9a035/
エムアイメゾン文京白山,東京都文京区本駒込1丁目,東京メトロ南北線 本駒込駅 徒歩3分;都営三田線 白山駅 徒歩3分;東京メトロ南北線 東大前駅 徒歩13分,6年 / 4階建,4階,ワンルーム,https://www.homes.co.jp/chintai/room/29d63a3d8d8859eb8b9bf04697faeb884c9ea846/
プレシス本駒込,東京都文京区本駒込1丁目,東京メトロ南北線 本駒込駅 徒歩2分;都営三田線 白山駅 徒歩3分;東京メトロ南北線 東大前駅 徒歩11分,6年 / 13階建,2階,1K,https://www.homes.co.jp/chintai/room/0dd8ad20a1a414c394f294f888874ea23e362625/
アリーチェ文京根津,東京都文京区根津1丁目17-8,東京メトロ千代田線 根津駅 徒歩2分;東京メトロ千代田線 千駄木駅 徒歩12分;東京メトロ南北線 東大前駅 徒歩14分,6年 / 10階建,9階,1K,https://www.homes.co.jp/chintai/room/7bea2242b086678b9212106901f3da1c0b31d371/
東京メトロ南北線 東大前駅 徒歩11分,東京都文京区白山1丁目4-13,都営三田線 白山駅 徒歩8分;東京メトロ南北線 東大前駅 徒歩11分;都営三田線 春日駅 徒歩12分,4年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/066bb9e36a5939bb45d22dad32d337f56d510d6b/
東京メトロ千代田線 千駄木駅 徒歩5分,東京都文京区千駄木3丁目47-1,東京メトロ千代田線 千駄木駅 徒歩5分;JR山手線 西日暮里駅 徒歩7分;JR山手線 日暮里駅 徒歩11分,8年 / 14階建,6階,1K,https://www.homes.co.jp/chintai/room/21a5bb7fabc3846a8cfca76b88dc843a5f6557d8/
ＣＡＳＡ　ＣＯＬＬＩＮＥ2,東京都文京区本駒込1丁目,東京メトロ南北線 本駒込駅 徒歩2分;都営三田線 白山駅 徒歩6分;東京メトロ南北線 東大前駅 徒歩14分,6年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/540baf801e720dce4078349f712515932c3129d6/
ＣＡＳＡ　ＣＯＬＬＩＮＥ2,東京都文京区本駒込1丁目,東京メトロ南北線 本駒込駅 徒歩2分;都営三田線 白山駅 徒歩6分;東京メトロ南北線 東大前駅 徒歩14分,6年 / 3階建,1階,1K,https://www.homes.co.jp/chintai/room/c2b7fbee380845e0394ecf967a2a8d475f344e1e/
東京メトロ丸ノ内線 茗荷谷駅 徒歩7分,東京都文京区小石川5丁目,東京メトロ丸ノ内線 茗荷谷駅 徒歩7分;都営三田線 千石駅 徒歩17分;都営三田線 白山駅 徒歩18分,7年 / 10階建,6階,1K,https://www.homes.co.jp/chintai/room/6c393e6026baf28e5d4019dab23f062bb7971292/
東京メトロ南北線 本駒込駅 徒歩2分,東京都文京区本駒込1丁目,東京メトロ南北線 本駒込駅 徒歩2分;都営三田線 白山駅 徒歩3分;東京メトロ南北線 東大前駅 徒歩11分,6年 / 13階建,2階,1K,https://www.homes.co.jp/chintai/room/a26306d1daa22a14848c56c530f381526004570a/
東京メトロ千代田線 湯島駅 徒歩4分,東京都文京区湯島2丁目,東京メトロ千代田線 湯島駅 徒歩4分;東京メトロ銀座線 末広町駅 徒歩8分;JR中央線 御茶ノ水駅 徒歩10分,6年 / 4階建,3階,1K,https://www.homes.co.jp/chintai/room/2958905fffa45fd5fa04b0189182af85106bb9bc/
江戸川橋ステーションレジデンス,東京都文京区関口1丁目,東京メトロ有楽町線 江戸川橋駅 徒歩3分,4年 / 13階建,5階,1K,https://www.homes.co.jp/chintai/room/f22eb8f77836de15a7ffc8a8058c2ec30f7b5edf/
江戸川橋ステーションレジデンス,東京都文京区関口1丁目,東京メトロ有楽町線 江戸川橋駅 徒歩3分;東京メトロ東西線 神楽坂駅 徒歩13分,4年 / 5階建,5階,1K,https://www.homes.co.jp/chintai/room/db52243a18628f0ae4626482d472018baf0e7e34/
